"Content type";"Record Number";Acronym;Title;ID;Teaser;Programme;"Start date";"End date";Language;"Available languages";"Last updated";URL
project;97657;"SYSTEMS MICROSCOPY";"Systems microscopy – a key enabling methodology for next-generation systems biology";258068;"Biological processes occur in space and time, but current experimental methods for systems biology are limited in their ability to resolve this spatiotemporal complexity of life. In addition, traditional “omics” methods often suffer from limited sensitivity and need to averag...";FP7-HEALTH;2011-01-01;2015-12-31;en;en;"2017-05-26 01:17:38";https://cordis.europa.eu/project/rcn/97657_en.html
project;86779;TM-REST;"A new platform for fast molecular detection of MDR and XDR resistant strains of M. tuberculosis and of drug resistant malaria";202145;"Recent developments in molecular tools combined with updated epidemiological data provide novel challenges to the development of modern molecular diagnostics. The increasing threat of infections due to Mycobacterium tuberculosis, including multidrug-resistant (MDR) and extens...";FP7-HEALTH;2008-01-01;2011-06-30;en;en;"2017-05-29 12:23:01";https://cordis.europa.eu/project/rcn/86779_en.html
project;58088;D-LAB;"Organising The Decentralisation Of Clinical Testing Outside Laboratories";IST-1999-12502;"The project D-LAB focuses its research on the organisation, control and management of diagnostic tests outside the traditional Central Laboratory, in Points of Care Testing (POCT). In this area D-LAB aims also at contributing to a paradigm shift in the organisation of the serv...";FP5-IST;2000-01-01;2001-12-31;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/58088_en.html
project;74308;ERAPHARM;"Environmental risk assessment of pharmaceuticals";511135;"The overall objective of ERAPharm is to improve and complement existing knowledge and procedures for theenvironmental risk assessment (ERA) of human and veterinary pharmaceuticals. Based on EU regulatoryframeworks on the ERA of pharmaceuticals and on the outcome of previous pr...";FP6-SUSTDEV;2004-10-01;2007-09-30;en;en;"2008-10-30 00:00:00";https://cordis.europa.eu/project/rcn/74308_en.html
project;70177;"BACTERIAL CROSS-TALK";"Cross-talk among pathogens, commensal and environmental factors in the digestive tract";QLK1-CT-1999-50455;"Allow young researchers in the field of gut microbial ecosystem undertake part of their doctoral studies in a complementary area of research, in an internationally recognised group other than their own";"FP5-LIFE QUALITY";2001-01-22;2005-01-21;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/70177_en.html
project;74089;"TP PLANTS AND HEALTH";"The European technology platform on plant genomics and biotechnology: plants for healthy lifestyles and for sustainable development";512149;"There has been a sharp decline in plant biotechnology activities in Europe over the past 8 years: most Europeans favour medical applications of biotechnology, many remain sceptical of agricultural and food-related biotech, the academic sector and plant bi otechnology industry ...";FP6-LIFESCIHEALTH;2004-06-01;2007-07-31;en;en;"2010-01-04 00:00:00";https://cordis.europa.eu/project/rcn/74089_en.html
project;85435;POCEMON;"Point-Of-Care MONitoring and DIagnostics for Autoimmune Diseases";216088;"The POCEMON project aims to the hardware and software development of a multi-purpose autoimmune diseases diagnostic platform by combining Lab-on-Chip (LOC) technologies, genomic microarrays of HLA (human leukocyte antigens) typing, microelectronics, mobile devices, intelligen...";FP7-ICT;2008-01-01;2011-08-31;en;en;"2017-04-19 01:44:31";https://cordis.europa.eu/project/rcn/85435_en.html
project;86690;RAREDISEASEPLATFORM;"A European Platform of Integrated Information Services for Researchers in the Field of Rare Diseases and Orphan Drugs Supporting Team and Project Building";201230;"This project aims at creating a set of tools intended to facilitate collaborations between academic teams, SMEs and even major companies, in the field of rare diseases (RD). These tools will contribute to building up a community of stakeholders with the ultimate goal of speed...";FP7-HEALTH;2008-05-01;2011-04-30;en;en;"2017-05-29 12:07:19";https://cordis.europa.eu/project/rcn/86690_en.html
project;85545;CD-MEDICS;"Coeliac Disease – Management, Monitoring and Diagnosis using Biosensors and an Integrated Chip  System";216031;"The overall concept of the CD-MEDICS IP is to develop a technology platform for point-of-care diagnostics, capable of simultaneous genomic and proteomic detection, with embedded communication abilities for direct interfacing with hospital information systems. This will be ach...";FP7-ICT;2008-02-01;2012-07-31;en;en;"2017-04-19 01:02:15";https://cordis.europa.eu/project/rcn/85545_en.html
project;54368;H-LIFE;"Intelligent personal health assistant";IST-2000-26353;"The objective of the h-Life (healthy Life) project is to develop an easy-to-use system, which provides patients and citizens in general with a tool, which can be used for the monitoring of their lifestyle. It aims to create an intelligent environment, which can be used as a pe...";FP5-IST;2001-01-01;2002-12-31;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/54368_en.html
project;58081;TELEMEDICARE;"Telematic Support for Patient Focused Distant Care";IST-1999-10754;"The TelemediCare system will improve the quality of home-based care and medical treatment, through the development of a new generation of open platform telemedicine solutions. The project will introduce Medical Net Instruments, which implies that patients will receive 24-hour ...";FP5-IST;2000-01-01;2002-06-30;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/58081_en.html
project;98298;INTERACT;"International Network for Terrestrial Research and Monitoring in the Arctic";262693;"Environmental change and particularly amplified global climate change are accelerating in the Arctic. These changes already affect local residents and feedback from the Arctic’s land surface to the climate system, will have global implications. However, climate change and its...";FP7-INFRASTRUCTURES;2011-01-01;2015-12-31;en;en;"2017-12-18 10:09:46";https://cordis.europa.eu/project/rcn/98298_en.html
project;93777;M-Eco;"The Medical Ecosystem - Personalized Event-based Surveillance";247829;"Many factors in today's changing societies contribute towards the continuous emergence of infectious diseases. Demographic change, globalization, bioterrorism, compounded with the resilient nature of viruses and diseases such as SARS and avian influenza have raised awareness ...";FP7-ICT;2010-01-01;2012-08-31;en;en;"2017-04-20 02:00:23";https://cordis.europa.eu/project/rcn/93777_en.html
project;78497;WADI;"Sustainable management of Mediterranean coastal fresh and transitional water bodies: a socio-economic and environmental analysis of changes and trends to enhance and sustain stakeholders benefits";15226;"Management decisions of fresh water resource are generally driven by the urgency of recent changes in the human (globalisation) and natural (climatic changes) contexts. However, the local context, which is most sensitive to human impact, is often neglected , resulting in confl...";FP6-INCO;2006-01-01;2008-12-31;en;en;"2009-12-03 00:00:00";https://cordis.europa.eu/project/rcn/78497_en.html
project;64521;EUROPIT;"Toxicological evaluation of the immune function of pesticide workers";QLK4-CT-2001-00211;"Most of the human population is exposed to pesticides, which are ubiquitous contaminants of the ecosystem. Little is known about long-term effects consequent to prolonged, low dose-exposure to these compounds. Some laboratory data are available suggesting that prolonged exposu...";"FP5-LIFE QUALITY";2002-01-01;2005-03-31;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/64521_en.html
project;42695;;"Energetics and physiology of a diving bird; the use of heart rate to estimate field metabolism of king penguins";FMBI972460;"Research objectives and content 
King penguins are one of the top predators in the marine ecosystem and represent a significant proportion of the avian biomass of the Antarctic region. To obtain food for their chicks, they forage some 300-1000 km away from their breeding sit...";FP4-TMR;1997-11-18;2000-11-17;en;en;"1998-03-19 00:00:00";https://cordis.europa.eu/project/rcn/42695_en.html
project;94069;RICHE;"RICHE – a platform and inventory for child health research in Europe";242181;"The European Commission and other funding agencies make a large investment in child health research. The health of our children is satisfactory, but there are serious concerns, for example, obesity, mental health, alcohol abuse, and sexuality. We know that there are strong li...";FP7-HEALTH;2010-02-01;2013-07-31;en;en;"2017-05-25 22:30:19";https://cordis.europa.eu/project/rcn/94069_en.html
project;74420;NANOCUES;"Nanoscale surface cues to steer cellular biosystems";505868;"The overall Science and Technology (S&T) objectives of this project are to create a knowledge base and technical platform that can be exploited in the design and development of Nan biotechnological processes and devices, tailored to steer/monitor cellular function. The project...";FP6-NMP;2004-01-01;2006-12-31;en;en;"2010-01-20 00:00:00";https://cordis.europa.eu/project/rcn/74420_en.html
project;75289;ORPHANPLATFORM;"Platform of information services for the coordination of rare disease research with various stakeholders from research, SMEs and patient organisations and the coordination of early clinical trials";503246;"In the field of rare diseases, it is impossible to reach a critical mass of resources at national level. To achieve a European critical mass of experts and operational partners, all the proposed actions are based on the coordination and development of already existing and acti...";FP6-LIFESCIHEALTH;2004-04-01;2006-06-30;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/75289_en.html
project;103711;"HIGH PROFILE";"High-throughput Production of FunctIonal 3D images of the brain";269356;"HIGH PROFILE combines industrial and clinical driven R&D activities dealing with image diagnostic platforms for the central nervous system. The project’s approach is to progress state-of-the-art by integrating imaging equipment for diagnostics –including algorithms, equipment...";FP7-JTI;2011-04-01;2014-06-30;en;en;"2017-05-26 03:47:01";https://cordis.europa.eu/project/rcn/103711_en.html
project;98079;SAVEME;"A Modular Nanosystems Platform for Advanced Cancer Management:  Nano-vehicles; Tumor Targeting and Penetration Agents; Molecular Imaging, Degradome based Therapy";263307;"SaveMe project will address current urgent needs for pancreatic cancer diagnosis and treatment by exploiting partners’ expertise and most recent research achievements for the design and development of novel modular nanosystems platform integrating new functionalized nano-core...";FP7-NMP;2011-03-01;2015-02-28;en;en;"2017-10-08 09:02:55";https://cordis.europa.eu/project/rcn/98079_en.html
project;97617;ASCMICROPLAT;"Fast Automated Multiplex Analysis of Neonatal Sepsis Markers on a Centrifugal Microfluidic Platform";258759;"The global frequency of neonatal sepsis is 1-21 newborns per 1000 live births with mortality rates as high as 35-70%, amounting to 100,000s of annual cases. The consortium has identified a real and pressing need for increasing diagnostic efficacy in a setting that imposes a d...";FP7-HEALTH;2011-01-01;2014-06-30;en;en;"2017-09-10 09:07:36";https://cordis.europa.eu/project/rcn/97617_en.html
project;78402;HT3DEM;"High-throughput three-dimensional Electron Microscopy";18811;"The aim of this proposal is to enhance the European leadership in three-dimensional (3D) electron microscopy. HT-3DEM proposes to develop an automated platform to enable high throughput screening and analysis of native protein complexes and protein crysta ls by electron micros...";FP6-LIFESCIHEALTH;2005-10-01;2009-09-30;en;en;"2009-06-18 00:00:00";https://cordis.europa.eu/project/rcn/78402_en.html
project;57768;SAID;"Social Aid Interactive Developments";IST-2000-25024;"SAID is meant to develop a set of telematic services for the elderly to aid the work of Social Assistants by means of Digital TV infrastructure, intelligent Software Agents and Mobile phone information services. The objectives are not only to provide basic social services as t...";FP5-IST;2001-01-01;2003-06-30;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/57768_en.html
project;64198;CELLSENS;"Novel in vitro testing platforms based on intra-and extracellular sensing";QLK3-CT-2001-00244;"The goal of the project is to develop new in-vitro platforms for pharmaceutical screening based on animal or human cells grown on microelectrode arrays enabling simultaneous monitoring of extra- and intracellular levels of key metabolites (e.g., NO and super oxide) by using op...";"FP5-LIFE QUALITY";2002-01-01;2004-12-31;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/64198_en.html
project;58122;IHELP;"Electronic Remote Assistance in the Operating Room";IST-2001-33269;"The iHELP project will utilise state of the art e-Health platforms and methodology in order to define best practices for providing on-line assistance, on 24h basis across the world, to surgeons using the latest neurosurgery systems in the Operating Room (O.R.) by the engineers...";FP5-IST;2001-09-01;2003-02-28;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/58122_en.html
project;58096;TOSCA;"Tele-Ophthalmological Services - Citizen-centred Applications (TOSCA)";IST-1999-12364;"TOSCA is a merger of major European initiatives aiming at the reduction of blindness by the use of citizen-centred telemedical applications in ophthalmology. The focus is on diabetic retinopathy (DR) and glaucoma, which are the most frequent causes of blindness in Europe. Besi...";FP5-IST;2000-01-01;2002-12-31;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/58096_en.html
project;74069;"PHARMTECH PLATFORM";"Workshop on creation of biopharmaceutical development platforms with involvement of biotech SMEs";511986;"Today, development of medicines in Europe is not optimal, most clearly demonstrated by the movement of workplaces to the USA. Outdated development and approval procedures, as well as weak ties between key players within industry, academia and regulatory authorities, also pose ...";FP6-LIFESCIHEALTH;2004-10-01;2006-03-31;en;en;"2010-03-12 00:00:00";https://cordis.europa.eu/project/rcn/74069_en.html
project;70002;GEMINI;"Gene mining of metagenomes for novel enzymes and therapeutics";QLK3-CT-2002-02056;"Microbial diversity is a key element in the search to new, valuable compounds such as enzymes with novel properties for industrial applications or which may lead to new or modified antimicrobials. Only a limited number of microorganisms from the environment can be cultured. Th...";"FP5-LIFE QUALITY";2002-11-01;2006-10-31;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/70002_en.html
project;92294;INTERPLAY;"Interplay of microbiota and gut function in the developing pig – Innovative avenues towards sustainable animal production";227549;"Low input farming occurs under non-SPF (specific pathogen free) conditions. The European ban on in-feed antibiotics exposes the piglets to a higher microbial environmental pressure. The postnatal priming of piglets with a diverse microbiota may affect the development of the p...";FP7-KBBE;2009-09-01;2013-08-31;en;en;"2017-05-25 17:44:36";https://cordis.europa.eu/project/rcn/92294_en.html
project;92242;CLEAR;"Climate change, Environmental contaminants and Reproductive health";226217;"The research project investigates the possible impact of global climate change on reproductive health in one Arctic and two European populations. The key questions to be addressed are, firstly, how may climate change influence human exposure to widespread environmental contam...";FP7-ENVIRONMENT;2009-05-01;2013-10-31;en;en;"2017-05-29 18:05:49";https://cordis.europa.eu/project/rcn/92242_en.html
project;72707;FIRE;"Risk assessment of brominated flame-retardants as suspected endocrine disrupters for human and wildlife health";QLK4-CT-2002-00596;"The project is an integrated approach of directed toxicological studies and exposure assessments to characterise the emerging human and wildlife health risks from brominates flame retardants (Bars) by endocrine disruption. The project consists of seven themes:
1) Selection of ...";"FP5-LIFE QUALITY";2002-12-01;2006-11-30;en;en;"2006-06-13 00:02:53";https://cordis.europa.eu/project/rcn/72707_en.html
project;72710;TSE-SOIL-FATE;"Biotic and abiotic mechanisms of TSE infectivity retention and dissemination in soil";QLK4-CT-2002-02493;"TSE contamination of soils or water, by infected herds, rotting carcasses or via the storage of rendering waste, is a matter of concern both for sustainability of European breeding activity and human health. The fate of the TSE agent in soils depends on the balance between ret...";"FP5-LIFE QUALITY";2003-01-01;2006-04-30;en;en;"2006-06-13 00:00:00";https://cordis.europa.eu/project/rcn/72710_en.html
project;51476;HEPADNA;"Development of assays for the detection and prediction of co- and anti-mutagenic constituents in food with cells of human origin";QLK1-CT-1999-00810;"It is well documented that diet and the existing food containments play a crucial role in the aetiology of cancer in humans. In order to perform a reliable risk assessment for human in the present project we plan to develop and validate new assays using human hepatoma and hepa...";"FP5-LIFE QUALITY";2000-02-01;2004-07-31;en;en;"2005-12-09 00:00:00";https://cordis.europa.eu/project/rcn/51476_en.html
project;51982;SYNCAN;"Synbiotics and cancer prevention in humans";QLK1-CT-1999-00346;"The project addresses the important problem of the high rate of colorectal cancer (CRC) in Europe. The main aim is to evaluate the potential CRC-preventing activity of a symbiotic (pro + pre-biotic combination) in human volunteers.
1 will achieve the objective. In vitro studie...";"FP5-LIFE QUALITY";2000-02-01;2003-11-01;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/51982_en.html
project;67522;TRANSVIR;"Environmental impact assessment of transgenic grapevines and plums on the diversity and dynamics of virus populations";QLK3-CT-2002-02140;"Our proposal addresses environmental safety issues of transgenic plants expressing virus-derived genes. Our main objective is to evaluate under field conditions the incidence of coat protein genes in transgenic grapevines and plums on the dynamics and variability of virus popu...";"FP5-LIFE QUALITY";2003-01-01;2006-06-30;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/67522_en.html
project;64853;PHOBIA;"Phototrophic biofilms and their potential applications: towards the development of a unifying concept";QLK3-CT-2002-01938;"Phototrophic biofilms are communities, driven by photosynthesing microorganisms, and occurring on interfaces in terrestrial and aquatic environments. Such biofilms cause biofouling on e.g. submersed objects and monuments, but also have a great bioremediation potential for wate...";"FP5-LIFE QUALITY";2002-10-01;2005-12-31;en;en;"2005-12-09 00:00:00";https://cordis.europa.eu/project/rcn/64853_en.html
project;64833;LINDANE;"Eco-genomic survey of microbial diversity for lindane degradation: formulation of catalysts for site- intervention";QLK3-CT-2002-01933;"This Project deals with the exploitation of the enzymatic diversity of microbial communities with a history of exposure to hexachlorocyclohexane (HCH) as a source of activities for in site remediation of soils, which have been polluted with the pesticide. This will involve:
[a...";"FP5-LIFE QUALITY";2002-10-01;2005-09-30;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/64833_en.html
project;56688;"KISKO GABRIELLA 13/0";"Characterisation and manipulation of the microbial ecosystem in minimally processed fruit juices for improved quality and safety";QLK1-CT-2000-51126;"The ecology of pathogenic and spoilage micro-organisms in minimally processed fruit juices will be studied using classical and molecular tools with the ultimate aim of facilitating the development of novel microbial control measures for ensuring the quality and safety of these...";"FP5-LIFE QUALITY";2001-02-05;2002-02-04;en;en;"2005-04-12 00:00:00";https://cordis.europa.eu/project/rcn/56688_en.html
project;48232;;"Intestinal flora : beneficial and detrimental effects on host nutritional balance and health";FAIR984230;"Objectives and deliverables: The overall objective of the proposed project is the Co-ordination of European research and determination of research orientation especially regarding areas of gut microbial ecology in which there is lack of knowledge but which nevertheless are of ...";FP4-FAIR;1999-01-01;2000-12-31;en;en;"1999-06-03 00:00:00";https://cordis.europa.eu/project/rcn/48232_en.html
project;69958;THRIVE;"Tele-rehabilitation through interactive video endorsement";QLG5-CT-2002-01386;"THRIVE uses current ICT to improve the level of care provided to spinal cord injured patients and allows them to return to their family settings without compromising the quality of treatment they receive. It brings specialised rehabilitation facilities nearer the patient's hom...";"FP5-LIFE QUALITY";2003-02-01;2006-10-31;en;en;"2006-06-13 00:00:00";https://cordis.europa.eu/project/rcn/69958_en.html
project;75797;HEALTHWARE;"Standard and interoperable satellite solution to deploy Healthcare services over wide areas";516171;"Developing satellite and IP-based networks and services dedicated to healthcare is a real opportunity for professionals and patients to increase quality/comfort in Europ. medical practices. However, current technical, technological or practical barriers prevent the extension/p...";FP6-AEROSPACE;2005-05-01;2008-04-30;en;en;"2010-10-07 00:00:00";https://cordis.europa.eu/project/rcn/75797_en.html
project;75688;EBIOSENSE;"Electrical bio sensor arrays for analyses of harmful micro organisms and microbial toxins";512009;"Main objective is to develop an advanced platform for analysis of harmful micro organisms and/or their toxic products. The goal will be reached by integration of the data on genomes and proteomes available through bioinformatics and advanced silicon and m icrosystem technology...";FP6-LIFESCIHEALTH;2005-01-01;2007-12-31;en;en;"2010-01-04 00:00:00";https://cordis.europa.eu/project/rcn/75688_en.html
project;75337;PONT;"Disease therapeutic targets, multidisciplinary parallel validation, accelerated drug discovery";505781;"Altered gene expression or function in disease indicates disturbed cellular processes and potential new molecular targets for therapeutic intervention. The drug development pipeline however, is plagued by high target attrition rates and extended timelines. Further, advances in...";FP6-LIFESCIHEALTH;2003-12-01;2006-11-30;en;en;"2010-12-15 00:00:00";https://cordis.europa.eu/project/rcn/75337_en.html
project;75651;CELLAID;"European Symposia for the evaluation of potentials and perspectives of curative cell therapies for autoimmune diseases";5094;"Abstract CELLAID provides an integrative European platform for the evaluation and development of research strategies for cell therapies of the immune system, aiming at a cure of autoimmune diseases. Objectives: CELLAID will organize three symposia to form a European consortium...";FP6-LIFESCIHEALTH;2005-01-01;2007-06-30;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/75651_en.html
project;79834;EUFOOD4LIFE;"European Technology Platform for the Agro-Food Sector: Food for Life";43177;"The ETP Food for Life, reflecting innovation in the agro-food chain, was launched in July 2005 and a Vision Paper published. A Board and Operational Committee have been appointed and a Stakeholder Strategic Research Agenda (SSRA) developed by expert panels, made available for ...";FP6-FOOD;2006-09-01;2007-12-31;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/rcn/79834_en.html
project;81191;MAGSELECTOFECTION;"Combined isolation and stable non-viral transfection of hematopoietic cells- a novel platform technology for ex vivo hematopoietic stem cell gene therapy";19038;"The feasibility of ex vivo gene therapy in humans has been demonstrated with retrovirally ransduced hematopoietic stem cells. At the same time, risks associated with the use of retroviral vectors became apparent. We will establish and validate a novel combination technology fo...";FP6-LIFESCIHEALTH;2006-05-01;2009-12-31;en;en;"2009-06-09 00:00:00";https://cordis.europa.eu/project/rcn/81191_en.html
project;58383;HUMAN;"Health throUgh teleMAtics for iNmates";IST-2001-33483;"The HUMAN Project aims at improving the quality and continuity of patient-prisoner care by designing, developing and validating in two different European sites an umbrella of health telemedicine and domotic services, tailored on the inmates needs, as well as on the requirement...";FP5-IST;2001-09-01;2002-10-31;en;en;"2005-06-13 00:00:00";https://cordis.europa.eu/project/rcn/58383_en.html
project;93581;PSYCHE;"Personalised monitoring SYstems for Care in mental HEalth";247777;"PSYCHE project will develop a personal, cost-effective, multi-parametric monitoring system based on textile and portable sensing platform for the long and short term acquisition of data.The patient diagnosed with bipolar disorder will be placed at the epicentre of its managem...";FP7-ICT;2010-01-01;2013-12-31;en;en;"2017-04-21 01:27:06";https://cordis.europa.eu/project/rcn/93581_en.html
project;105287;Health-e-Child;Health-e-Child;027749;"There is a compelling demand for the integration and exploitation of heterogeneous biomedical information for improved clinical practice, medical research, and personalized healthcare for the citizens of EU.The Health-e-Child project aims at developing an integrated healthcar...";FP6-IST;2006-01-01;2010-04-30;en;en;"2017-03-31 23:29:10";https://cordis.europa.eu/project/rcn/105287_en.html
